t_sec,loop_dt_ms,inst_fps
1.963138580322265625e-03,1.963138580322265625e+00,5.093883972167968750e+02
5.768609046936035156e-02,5.572295379638671875e+01,1.794592666625976562e+01
9.290194511413574219e-02,3.521585464477539062e+01,2.839630126953125000e+01
1.259078979492187500e-01,3.300595092773437500e+01,3.029756736755371094e+01
1.557760238647460938e-01,2.986812591552734375e+01,3.348050689697265625e+01
1.897289752960205078e-01,3.395294952392578125e+01,2.945252227783203125e+01
2.222080230712890625e-01,3.247904968261718750e+01,3.078907775878906250e+01
2.781960964202880859e-01,5.598807525634765625e+01,1.786094665527343750e+01
3.203380107879638672e-01,4.214191436767578125e+01,2.372934532165527344e+01
3.560240268707275391e-01,3.568601608276367188e+01,2.802218055725097656e+01
3.890581130981445312e-01,3.303408813476562500e+01,3.027176094055175781e+01
4.204080104827880859e-01,3.134989738464355469e+01,3.189803123474121094e+01
4.549808502197265625e-01,3.457283782958984375e+01,2.892444038391113281e+01
4.933040142059326172e-01,3.832316589355468750e+01,2.609387779235839844e+01
5.211470127105712891e-01,2.784299850463867188e+01,3.591567230224609375e+01
5.537159442901611328e-01,3.256893157958984375e+01,3.070410728454589844e+01
5.892059803009033203e-01,3.549003601074218750e+01,2.817692184448242188e+01
6.210439205169677734e-01,3.183794021606445312e+01,3.140906715393066406e+01
6.555640697479248047e-01,3.452014923095703125e+01,2.896858787536621094e+01
6.879720687866210938e-01,3.240799713134765625e+01,3.085658073425292969e+01
7.240869998931884766e-01,3.611492919921875000e+01,2.768938064575195312e+01
7.557671070098876953e-01,3.168010711669921875e+01,3.156554985046386719e+01
7.925360202789306641e-01,3.676891326904296875e+01,2.719688796997070312e+01
8.271930217742919922e-01,3.465700149536132812e+01,2.885419845581054688e+01
8.559730052947998047e-01,2.877998352050781250e+01,3.474637222290039062e+01
8.896861076354980469e-01,3.371310424804687500e+01,2.966205596923828125e+01
9.224739074707031250e-01,3.278779983520507812e+01,3.049914932250976562e+01
9.545819759368896484e-01,3.210807037353515625e+01,3.114481735229492188e+01
9.907121658325195312e-01,3.613018798828125000e+01,2.767768669128417969e+01
1.023197889328002930e+00,3.248572540283203125e+01,3.078275108337402344e+01
1.057029008865356445e+00,3.383111953735351562e+01,2.955858421325683594e+01
1.088929176330566406e+00,3.190016746520996094e+01,3.134779739379882812e+01
1.122756958007812500e+00,3.382778167724609375e+01,2.956150054931640625e+01
1.156542062759399414e+00,3.378510284423828125e+01,2.959884452819824219e+01
1.189640045166015625e+00,3.309798431396484375e+01,3.021331977844238281e+01
1.221697092056274414e+00,3.205704498291015625e+01,3.119439125061035156e+01
1.257134199142456055e+00,3.543710708618164062e+01,2.821900749206542969e+01
1.291235208511352539e+00,3.410100936889648438e+01,2.932464599609375000e+01
1.323264122009277344e+00,3.202891540527343750e+01,3.122178840637207031e+01
1.358046054840087891e+00,3.478193283081054688e+01,2.875055885314941406e+01
1.395411968231201172e+00,3.736591339111328125e+01,2.676235961914062500e+01
1.426609039306640625e+00,3.119707107543945312e+01,3.205429077148437500e+01
1.459549903869628906e+00,3.294086456298828125e+01,3.035742950439453125e+01
1.490502834320068359e+00,3.095293045043945312e+01,3.230711746215820312e+01
1.524710893630981445e+00,3.420806121826171875e+01,2.923287582397460938e+01
1.558345079421997070e+00,3.363418579101562500e+01,2.973165512084960938e+01
1.594085931777954102e+00,3.574085235595703125e+01,2.797918701171875000e+01
1.624772071838378906e+00,3.068614006042480469e+01,3.258800125122070312e+01
1.665775060653686523e+00,4.100299072265625000e+01,2.438846397399902344e+01
1.691148996353149414e+00,2.537393569946289062e+01,3.941051864624023438e+01
1.724992036819458008e+00,3.384304046630859375e+01,2.954817199707031250e+01
1.759080886840820312e+00,3.408885192871093750e+01,2.933510398864746094e+01
1.792840957641601562e+00,3.376007080078125000e+01,2.962079048156738281e+01
1.823820114135742188e+00,3.097915649414062500e+01,3.227976989746093750e+01
1.860800981521606445e+00,3.698086547851562500e+01,2.704101181030273438e+01
1.891584157943725586e+00,3.078317642211914062e+01,3.248527526855468750e+01
1.924844026565551758e+00,3.325986862182617188e+01,3.006626510620117188e+01
1.958830118179321289e+00,3.398609161376953125e+01,2.942380142211914062e+01
