kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.696177244186401367e-01,9.238221645355224609e-01,9.244623184204101562e-01,7.217498421669006348e-01,6.973107457160949707e-01,9.881898164749145508e-01,9.887341260910034180e-01,9.596691131591796875e-01,9.610149264335632324e-01,9.356272220611572266e-01,9.381433725357055664e-01,9.934672713279724121e-01,9.936150312423706055e-01,9.859704375267028809e-01,9.868510365486145020e-01,9.605864882469177246e-01,9.626780152320861816e-01
9.696177244186401367e-01,9.238221645355224609e-01,9.244623184204101562e-01,7.217498421669006348e-01,6.973107457160949707e-01,9.881898164749145508e-01,9.887341260910034180e-01,9.596691131591796875e-01,9.610149264335632324e-01,9.356272220611572266e-01,9.381433725357055664e-01,9.934672713279724121e-01,9.936150312423706055e-01,9.859704375267028809e-01,9.868510365486145020e-01,9.605864882469177246e-01,9.626780152320861816e-01
9.744718074798583984e-01,9.330163002014160156e-01,9.329400658607482910e-01,7.526242136955261230e-01,7.214190363883972168e-01,9.911439418792724609e-01,9.919758439064025879e-01,9.692654013633728027e-01,9.717156887054443359e-01,9.472182989120483398e-01,9.510442614555358887e-01,9.953124523162841797e-01,9.955339431762695312e-01,9.872031807899475098e-01,9.882914423942565918e-01,9.579611420631408691e-01,9.607421755790710449e-01
9.744718074798583984e-01,9.330163002014160156e-01,9.329400658607482910e-01,7.526242136955261230e-01,7.214190363883972168e-01,9.911439418792724609e-01,9.919758439064025879e-01,9.692654013633728027e-01,9.717156887054443359e-01,9.472182989120483398e-01,9.510442614555358887e-01,9.953124523162841797e-01,9.955339431762695312e-01,9.872031807899475098e-01,9.882914423942565918e-01,9.579611420631408691e-01,9.607421755790710449e-01
9.747125506401062012e-01,9.325081110000610352e-01,9.343183040618896484e-01,7.483853697776794434e-01,7.272362709045410156e-01,9.910356998443603516e-01,9.921724796295166016e-01,9.687490463256835938e-01,9.725531935691833496e-01,9.467335939407348633e-01,9.522519111633300781e-01,9.952400922775268555e-01,9.955446124076843262e-01,9.869154691696166992e-01,9.882224202156066895e-01,9.569863080978393555e-01,9.602420330047607422e-01
9.747720956802368164e-01,9.323632121086120605e-01,9.351927638053894043e-01,7.455132007598876953e-01,7.292836308479309082e-01,9.908072352409362793e-01,9.921516180038452148e-01,9.677780270576477051e-01,9.725565910339355469e-01,9.452795386314392090e-01,9.520485401153564453e-01,9.951435327529907227e-01,9.955070018768310547e-01,9.867462515830993652e-01,9.882110953330993652e-01,9.568132162094116211e-01,9.603638052940368652e-01
9.747720956802368164e-01,9.323632121086120605e-01,9.351927638053894043e-01,7.455132007598876953e-01,7.292836308479309082e-01,9.908072352409362793e-01,9.921516180038452148e-01,9.677780270576477051e-01,9.725565910339355469e-01,9.452795386314392090e-01,9.520485401153564453e-01,9.951435327529907227e-01,9.955070018768310547e-01,9.867462515830993652e-01,9.882110953330993652e-01,9.568132162094116211e-01,9.603638052940368652e-01
9.742592573165893555e-01,9.313555955886840820e-01,9.344252943992614746e-01,7.424591779708862305e-01,7.276684045791625977e-01,9.905483126640319824e-01,9.918498992919921875e-01,9.668223261833190918e-01,9.713979363441467285e-01,9.436329007148742676e-01,9.501720070838928223e-01,9.949826002120971680e-01,9.953321814537048340e-01,9.864559173583984375e-01,9.878898262977600098e-01,9.564121961593627930e-01,9.598349332809448242e-01
9.762268662452697754e-01,9.350628852844238281e-01,9.374872446060180664e-01,7.483860254287719727e-01,7.304012775421142578e-01,9.915836453437805176e-01,9.924161434173583984e-01,9.710140824317932129e-01,9.735194444656372070e-01,9.505735039710998535e-01,9.544129967689514160e-01,9.953872561454772949e-01,9.956040382385253906e-01,9.868143796920776367e-01,9.879446029663085938e-01,9.548685550689697266e-01,9.577295184135437012e-01
9.762268662452697754e-01,9.350628852844238281e-01,9.374872446060180664e-01,7.483860254287719727e-01,7.304012775421142578e-01,9.915836453437805176e-01,9.924161434173583984e-01,9.710140824317932129e-01,9.735194444656372070e-01,9.505735039710998535e-01,9.544129967689514160e-01,9.953872561454772949e-01,9.956040382385253906e-01,9.868143796920776367e-01,9.879446029663085938e-01,9.548685550689697266e-01,9.577295184135437012e-01
9.765939712524414062e-01,9.395328760147094727e-01,9.349879622459411621e-01,7.673955559730529785e-01,7.119159698486328125e-01,9.923667311668395996e-01,9.918328523635864258e-01,9.743417501449584961e-01,9.708129167556762695e-01,9.549480080604553223e-01,9.511022567749023438e-01,9.955912828445434570e-01,9.954186677932739258e-01,9.870615601539611816e-01,9.871642589569091797e-01,9.541550874710083008e-01,9.548206925392150879e-01
9.762885570526123047e-01,9.430031180381774902e-01,9.279391765594482422e-01,7.748614549636840820e-01,6.959859132766723633e-01,9.905611872673034668e-01,9.908316731452941895e-01,9.698476195335388184e-01,9.652820825576782227e-01,9.520606398582458496e-01,9.463202953338623047e-01,9.927806258201599121e-01,9.924083948135375977e-01,9.805808067321777344e-01,9.806695580482482910e-01,9.315223097801208496e-01,9.335365295410156250e-01
9.755261540412902832e-01,9.414116144180297852e-01,9.271166324615478516e-01,7.725544571876525879e-01,7.004747390747070312e-01,9.897519350051879883e-01,9.905583858489990234e-01,9.664488434791564941e-01,9.647407531738281250e-01,9.467134475708007812e-01,9.434656500816345215e-01,9.918532967567443848e-01,9.916864037513732910e-01,9.787678122520446777e-01,9.795615077018737793e-01,9.266037940979003906e-01,9.304349422454833984e-01
9.755261540412902832e-01,9.414116144180297852e-01,9.271166324615478516e-01,7.725544571876525879e-01,7.004747390747070312e-01,9.897519350051879883e-01,9.905583858489990234e-01,9.664488434791564941e-01,9.647407531738281250e-01,9.467134475708007812e-01,9.434656500816345215e-01,9.918532967567443848e-01,9.916864037513732910e-01,9.787678122520446777e-01,9.795615077018737793e-01,9.266037940979003906e-01,9.304349422454833984e-01
9.764751791954040527e-01,9.417040348052978516e-01,9.292650222778320312e-01,7.693049907684326172e-01,6.940685510635375977e-01,9.902551770210266113e-01,9.909684062004089355e-01,9.685423374176025391e-01,9.668301343917846680e-01,9.491304755210876465e-01,9.459723830223083496e-01,9.921494722366333008e-01,9.919814467430114746e-01,9.798144698143005371e-01,9.803880453109741211e-01,9.269569516181945801e-01,9.301127791404724121e-01
